RunID,Mode,Lambda1,Lambda2,Gamma,GraphK,Tol,ACC,NMI,Purity,TimeSec,Status
195,5,0.100000,0.010000,1.30,3,1.0e-03,0.202500,0.416640,0.227500,7.66,Success
196,1,1.000000,0.010000,1.30,3,1.0e-03,0.202500,0.441685,0.215000,7.62,Success
197,2,1.000000,0.010000,1.30,3,1.0e-03,0.157500,0.413154,0.212500,7.65,Success
198,3,1.000000,0.010000,1.30,3,1.0e-03,0.160000,0.378415,0.190000,7.62,Success
199,4,1.000000,0.010000,1.30,3,1.0e-03,0.187500,0.396232,0.210000,7.68,Success
200,5,1.000000,0.010000,1.30,3,1.0e-03,0.197500,0.429815,0.210000,7.63,Success
201,1,0.000100,0.100000,1.30,3,1.0e-03,0.342500,0.562725,0.370000,4.58,Success
202,2,0.000100,0.100000,1.30,3,1.0e-03,0.392500,0.619452,0.432500,4.03,Success
203,3,0.000100,0.100000,1.30,3,1.0e-03,0.345000,0.559047,0.357500,4.45,Success
204,4,0.000100,0.100000,1.30,3,1.0e-03,0.350000,0.579648,0.370000,5.85,Success
205,5,0.000100,0.100000,1.30,3,1.0e-03,0.325000,0.537005,0.347500,4.72,Success
206,1,0.001000,0.100000,1.30,3,1.0e-03,0.350000,0.564201,0.372500,4.49,Success
207,2,0.001000,0.100000,1.30,3,1.0e-03,0.420000,0.647070,0.467500,5.72,Success
